id_odsp,id_event,sort_order,time,text,event_type,event_type2,side,event_team,opponent,player,player2,player_in,player_out,shot_place,shot_outcome,is_goal,location,bodypart,assist_method,situation,fast_break
jVjGKCZS/,jVjGKCZS87,87,90,Attempt missed. Leonardo Bittencourt (1. FC Koln) right footed shot from the right side of the six yard box misses to the left. Assisted by Anthony Modeste.,1,12.0,2,FC Cologne,Mainz,leonardo bittencourt,anthony modeste,,,8.0,2.0,0,12.0,1.0,1,1.0,0
nqFSytv0/,nqFSytv03,3,1,Foul by Doria (Marseille).,3,,2,Marseille,Lyon,doria,,,,,,0,,,0,,0
nqFSytv0/,nqFSytv04,4,1,Maxwel Cornet (Lyon) wins a free kick in the defensive half.,8,,1,Lyon,Marseille,maxwel cornet,,,,,,0,2.0,,0,,0
nqFSytv0/,nqFSytv05,5,2,Corner:  Marseille. Conceded by Jeremy Morel.,2,,2,Marseille,Lyon,,,,,,,0,,,0,,0
nqFSytv0/,nqFSytv06,6,2,Attempt missed. Morgan Sanson (Marseille) left footed shot from outside the box is high and wide to the right following a corner.,1,,2,Marseille,Lyon,morgan sanson,,,,6.0,2.0,0,15.0,2.0,0,3.0,0
nqFSytv0/,nqFSytv07,7,3,Attempt blocked. Corentin Tolisso (Lyon) right footed shot from outside the box is blocked. Assisted by Mathieu Valbuena.,1,12.0,1,Lyon,Marseille,corentin tolisso,mathieu valbuena,,,2.0,3.0,0,15.0,1.0,1,1.0,0
nqFSytv0/,nqFSytv08,8,3,Offside: Lyon. Corentin Tolisso tries a through ball: but Maxwel Cornet is caught offside.,9,13.0,1,Lyon,Marseille,maxwel cornet,corentin tolisso,,,,,0,,,0,,0
nqFSytv0/,nqFSytv09,9,4,Foul by Bouna Sarr (Marseille).,3,,2,Marseille,Lyon,bouna sarr,,,,,,0,,,0,,0
nqFSytv0/,nqFSytv010,10,4,Maxime Gonalons (Lyon) wins a free kick in the attacking half.,8,,1,Lyon,Marseille,maxime gonalons,,,,,,0,1.0,,0,,0
nqFSytv0/,nqFSytv011,11,6,Attempt missed. Morgan Sanson (Marseille) right footed shot from the centre of the box misses to the left.,1,,2,Marseille,Lyon,morgan sanson,,,,8.0,2.0,0,3.0,1.0,0,1.0,0
nqFSytv0/,nqFSytv012,12,6,Bafetimbi Gomis (Marseille) wins a free kick in the attacking half.,8,,2,Marseille,Lyon,bafetimbi gomis,,,,,,0,1.0,,0,,0
nqFSytv0/,nqFSytv013,13,6,Foul by Rafael (Lyon).,3,,1,Lyon,Marseille,rafael,,,,,,0,,,0,,0
nqFSytv0/,nqFSytv014,14,8,Corner:  Marseille. Conceded by Jeremy Morel.,2,,2,Marseille,Lyon,,,,,,,0,,,0,,0
nqFSytv0/,nqFSytv015,15,9,Attempt saved. Rolando (Marseille) header from the centre of the box is saved in the top right corner. Assisted by Morgan Sanson with a cross.,1,12.0,2,Marseille,Lyon,rolando,morgan sanson,,,13.0,1.0,0,3.0,3.0,2,1.0,0
nqFSytv0/,nqFSytv016,16,9,Foul by Nabil Fekir (Lyon).,3,,1,Lyon,Marseille,nabil fekir,,,,,,0,,,0,,0
nqFSytv0/,nqFSytv017,17,9,Hiroki Sakai (Marseille) wins a free kick in the defensive half.,8,,2,Marseille,Lyon,hiroki sakai,,,,,,0,2.0,,0,,0
nqFSytv0/,nqFSytv018,18,11,Attempt blocked. Doria (Marseille) right footed shot from the left side of the box is blocked.,1,,2,Marseille,Lyon,doria,,,,2.0,3.0,0,9.0,1.0,0,1.0,0
nqFSytv0/,nqFSytv019,19,11,Corner:  Marseille. Conceded by Maxime Gonalons.,2,,2,Marseille,Lyon,,,,,,,0,,,0,,0
nqFSytv0/,nqFSytv020,20,11,Attempt saved. Bouna Sarr (Marseille) right footed shot from outside the box is saved in the bottom left corner. Assisted by Maxime Lopez.,1,12.0,2,Marseille,Lyon,bouna sarr,maxime lopez,,,3.0,1.0,0,15.0,1.0,1,1.0,0
nqFSytv0/,nqFSytv021,21,12,Attempt missed. Andre Zambo Anguissa (Marseille) right footed shot from outside the box misses to the left.,1,,2,Marseille,Lyon,andre zambo anguissa,,,,8.0,2.0,0,15.0,1.0,0,1.0,0
nqFSytv0/,nqFSytv022,22,12,Foul by Nabil Fekir (Lyon).,3,,1,Lyon,Marseille,nabil fekir,,,,,,0,,,0,,0
nqFSytv0/,nqFSytv023,23,12,Morgan Sanson (Marseille) wins a free kick in the defensive half.,8,,2,Marseille,Lyon,morgan sanson,,,,,,0,2.0,,0,,0
nqFSytv0/,nqFSytv024,24,13,Bouna Sarr (Marseille) wins a free kick in the defensive half.,8,,2,Marseille,Lyon,bouna sarr,,,,,,0,2.0,,0,,0
nqFSytv0/,nqFSytv025,25,13,Foul by Maxime Gonalons (Lyon).,3,,1,Lyon,Marseille,maxime gonalons,,,,,,0,,,0,,0
nqFSytv0/,nqFSytv026,26,16,Attempt missed. Mathieu Valbuena (Lyon) right footed shot from outside the box is high and wide to the right. Assisted by Nabil Fekir.,1,12.0,1,Lyon,Marseille,mathieu valbuena,nabil fekir,,,6.0,2.0,0,15.0,1.0,1,1.0,0
nqFSytv0/,nqFSytv027,27,16,Foul by Maxime Lopez (Marseille).,3,,2,Marseille,Lyon,maxime lopez,,,,,,0,,,0,,0
nqFSytv0/,nqFSytv028,28,16,Mathieu Valbuena (Lyon) wins a free kick in the attacking half.,8,,1,Lyon,Marseille,mathieu valbuena,,,,,,0,1.0,,0,,0
nqFSytv0/,nqFSytv029,29,17,Corner:  Lyon. Conceded by Bouna Sarr.,2,,1,Lyon,Marseille,,,,,,,0,,,0,,0
nqFSytv0/,nqFSytv030,30,18,Foul by Doria (Marseille).,3,,2,Marseille,Lyon,doria,,,,,,0,,,0,,0
